#key, created, size, mimetype
SE01_Meteo200-2015_Dep1999-2015.xls,2017-04-03T09:29:27.012014+00:00,2123264,application/vnd.ms-excel
SE03_Meteo2000-2015_Dep1996-2015.xls,2017-04-03T09:10:33.015106+00:00,2077184,application/vnd.ms-excel
SE02_Meteo2000-2015_Dep1996-2015.xls,2017-04-03T08:41:28.039607+00:00,2114048,application/vnd.ms-excel
vegetation_LTER_EU_SE_017_gammtratten_VG_99_15.xls,2017-03-31T15:18:37.101986+00:00,1843200,application/vnd.ms-excel
vegetation_LTER_EU_SE_001_002_VG_kind_96_14.xls,2017-03-31T15:08:48.367049+00:00,1335808,application/vnd.ms-excel
vegetation_LTER_EU_SE_012_001_VG_gård_00_13.xls,2017-03-31T14:44:36.000195+00:00,1140736,application/vnd.ms-excel
vegetation_LTER_EU_SE_016_aneb_VG_82_13.xls,2017-03-28T06:48:17.753057+00:00,904704,application/vnd.ms-excel
management_LTER_EU_RS_002_manag_KA.xls,2017-03-27T19:46:09.425706+00:00,204288,application/vnd.ms-excel
soil_LTER_EU_RS_002_soil_KA.xls,2017-03-27T19:31:13.569339+00:00,491520,application/vnd.ms-excel
vegetation_LTER_EU_RS_002_veg_KA.xls,2017-03-27T18:56:42.249416+00:00,348160,application/vnd.ms-excel
meteoLTER_EU_BE_001_bras_meteo19962016.xlsx,2017-03-25T16:50:01.882712+00:00,2802924,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_prec2007_v201703.xlsx,2017-03-21T13:05:06.126198+00:00,1079055,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_prec2008_v201703.xlsx,2017-03-21T13:05:06.138515+00:00,1104748,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_prec2009_v201703.xlsx,2017-03-21T13:05:06.150580+00:00,1101487,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_prec2010_v201703.xlsx,2017-03-21T13:05:06.162779+00:00,1103847,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2011_v201703.xlsx,2017-03-21T13:05:06.175025+00:00,1398056,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2012_v201703.xlsx,2017-03-21T13:05:06.187448+00:00,1441995,application/octet-stream
metorology_LTER_EU_AT_005_dom_temp_hh_wiv_prec2013_v201703.xlsx,2017-03-21T13:05:06.199368+00:00,1441843,application/octet-stream
